,,,,,,,,,,,,,,,,,,,,,,
Job Cost Analysis JTD,,,,,,,,,,,,,,,,"Wednesday, July 6, 2022",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Cur Rect:,,
,,,Fee Billed,Consultant Billed,Reimb Billed,Other Billed,,,Total Billed,,Revenue,,Spent,,Variance,,Variance Pct,,,,,
,,,,,,,,,,,,,,,,,,,,AR:,,
,,Cur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unbilled:,,
,,YTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Real Ratio:,,
,,JTD,,,,,,,,,,,"8,468",,"(8,468)",,,,,,,
,,,,,,,,,,,,,,,,,,,,Rev Meth:,B,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Phase Number: 010 Project Establishment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour,,,,,,,,,,,,,,,,,,,,,,
ENGIN Engineering,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Chat with Steve and further review of previous correspondence,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,4.00,,520.00,,,,,,,,,,,,
Internal meeting with Sulo and meeting at Motts + prep,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Meeting preparation for chat with Steve,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,-2.00,,(260.00),,,,,,,,,,,,
Chat with Steve and further review of previous correspondence,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,-4.00,,(520.00),,,,,,,,,,,,
Internal meeting with Sulo and meeting at Motts + prep,,,,,,,,,,,,,,,,,,,,,,
" * T      JCP  Peters, Jools    14/10/2020 ",,,,,,,,-1.00,,(130.00),,,,,,,,,,,,
Meeting preparation for chat with Steve,,,,,,,,,,,,,,,,,,,,,,
Total for JCP,,,,,,,,,,,,,,,,,,,,,,
" * T      SQS  Shanmuganathan, Sulojana    14/10/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Meeting at Motts; premeeting planning.,,,,,,,,,,,,,,,,,,,,,,
" * T      SQS  Shanmuganathan, Sulojana    14/10/2020 ",,,,,,,,1.00,,340.00,,,,,,,,,,,,
Project planning with Jools,,,,,,,,,,,,,,,,,,,,,,
" * T      SQS  Shanmuganathan, Sulojana    14/10/2020 ",,,,,,,,-1.50,,(510.00),,,,,,,,,,,,
Meeting at Motts; premeeting planning.,,,,,,,,,,,,,,,,,,,,,,
" * T      SQS  Shanmuganathan, Sulojana    14/10/2020 ",,,,,,,,-1.00,,(340.00),,,,,,,,,,,,
Project planning with Jools,,,,,,,,,,,,,,,,,,,,,,
Total for SQS,,,,,,,,,,,,,,,,,,,,,,
Total for Engineering ,,,,,,,,,,,,,,,,,,,,,,
Total for Labour,,,,,,,,,,,,,,,,,,,,,,
Total for 010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Financial Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Fee:,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Cur Rect:,,
,,,Fee Billed,Consultant Billed,Reimb Billed,Other Billed,,,Total Billed,,Revenue,,Spent,,Variance,,Variance Pct,,,,,
,,,,,,,,,,,,,,,,,,,,AR:,,
,,Cur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unbilled:,,
,,YTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Real Ratio:,,
,,JTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rev Meth:,B,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Phase Number: 011 External Workshop Attendance,,,,,,,,,,,,,,,,,,,,,,
Task Number: 001 Marine Grade Weathering Steel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour,,,,,,,,,,,,,,,,,,,,,,
ENGIN Engineering,,,,,,,,,,,,,,,,,,,,,,
" * T      IRB  Barbalich, Isabella    04/11/2020 ",,,,,,,,1.50,,142.50,,,,,,,,,,,,
highgate meeting,,,,,,,,,,,,,,,,,,,,,,
" * T      IRB  Barbalich, Isabella    04/11/2020 ",,,,,,,,-1.50,,(142.50),,,,,,,,,,,,
highgate meeting,,,,,,,,,,,,,,,,,,,,,,
Total for IRB,,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    04/11/2020 ",,,,,,,,4.00,,520.00,,,,,,,,,,,,
Meeting at Motts / Brainstorming session,,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    04/11/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Meeting with NZTA / prep,,,,,,,,,,,,,,,,,,,,,,
Total for JCP,,,,,,,,5.50,,715.00,,,,,,,,,,,,
" * T      LYS  Schmidt, Lars    04/11/2020 ",,,,,,,,2.00,,660.00,,,,,,,,,,,,
Brainstorming and prep,,,,,,,,,,,,,,,,,,,,,,
" * T      LYS  Schmidt, Lars    04/11/2020 ",,,,,,,,-2.00,,(660.00),,,,,,,,,,,,
Brainstorming and prep,,,,,,,,,,,,,,,,,,,,,,
Total for LYS,,,,,,,,,,,,,,,,,,,,,,
" * F      MGI  Ireland, Matthew    04/11/2020 ",,,,,,,,2.50,,475.00,,,,,,,,,,,,
Meeting with NZTA & prep,,,,,,,,,,,,,,,,,,,,,,
" * F      MGI  Ireland, Matthew    25/11/2020 ",,,,,,,,7.00,,"1,330.00",,,,,,,,,,,,
Weathering steel vs painted. Pier connection,,,,,,,,,,,,,,,,,,,,,,
Total for MGI,,,,,,,,9.50,,"1,805.00",,,,,,,,,,,,
" * F      RGD  Docherty, Richard    04/11/2020 ",,,,,,,,.50,,97.50,,,,,,,,,,,,
VC with Jools re construction costs / optioneering and constructability comparisons,,,,,,,,,,,,,,,,,,,,,,
" * F      RGD  Docherty, Richard    25/11/2020 ",,,,,,,,.50,,97.50,,,,,,,,,,,,
"Liaise with Sulo
Discuss steel pricing with suppliers and report back",,,,,,,,,,,,,,,,,,,,,,
Total for RGD,,,,,,,,1.00,,195.00,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    04/11/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Review of NZTA and earlier comments on options; email to Liam Coleman,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    04/11/2020 ",,,,,,,,1.00,,340.00,,,,,,,,,,,,
discussion with NZTA (Liam Coleman),,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    04/11/2020 ",,,,,,,,2.00,,680.00,,,,,,,,,,,,
Weathering steel - marine grade investigation.  Catch up with Rob P and Willie Mandeno.,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    11/11/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Discussion with Raed and finalise memo on weathering steel,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    11/11/2020 ",,,,,,,,.50,,170.00,,,,,,,,,,,,
Issue of memo onw weathering steel,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    11/11/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Memo on weathering steel,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    11/11/2020 ",,,,,,,,1.50,,510.00,,,,,,,,,,,,
Review of previous work; Discussion on weathering steel with Eastbridge; and Donald Krikcaldie re Bridge Manual,,,,,,,,,,,,,,,,,,,,,,
" * F      SQS  Shanmuganathan, Sulojana    25/11/2020 ",,,,,,,,2.50,,850.00,,,,,,,,,,,,
Preparation and meeting on weathering steel with Fulton Hogan,,,,,,,,,,,,,,,,,,,,,,
Total for SQS,,,,,,,,12.00,,"4,080.00",,,,,,,,,,,,
" * T      SRM  Moniz, Safia    04/11/2020 ",,,,,,,,1.50,,330.00,,,,,,,,,,,,
Workshop ,,,,,,,,,,,,,,,,,,,,,,
" * T      SRM  Moniz, Safia    04/11/2020 ",,,,,,,,-1.50,,(330.00),,,,,,,,,,,,
Workshop ,,,,,,,,,,,,,,,,,,,,,,
" * T      SRM  Moniz, Safia    18/11/2020 ",,,,,,,,2.00,,440.00,,,,,,,,,,,,
Meeting and prep ,,,,,,,,,,,,,,,,,,,,,,
" * T      SRM  Moniz, Safia    18/11/2020 ",,,,,,,,-2.00,,(440.00),,,,,,,,,,,,
Meeting and prep ,,,,,,,,,,,,,,,,,,,,,,
Total for SRM,,,,,,,,,,,,,,,,,,,,,,
Total for Engineering ,,,,,,,,28.00,,"6,795.00",,,,,,,,,,,,
Total for Labour,,,,,,,,28.00,,"6,795.00",,,,,,,,,,,,
Total for 001,,,,,,,,28.00,,"6,795.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Financial Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Fee:,"7,625",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Cur Rect:,,
,,,Fee Billed,Consultant Billed,Reimb Billed,Other Billed,,,Total Billed,,Revenue,,Spent,,Variance,,Variance Pct,,,,,
,,,,,,,,,,,,,,,,,,,,AR:,,
,,Cur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unbilled:,,
,,YTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Real Ratio:,2.08,
,,JTD,"14,125",,,,,,"14,125",,"14,125",,"6,795",,"7,330",,51.89,,,,,
,,,,,,,,,,,,,,,,,,,,Rev Meth:,B,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Total for 011,,,,,,,,28.00,,"6,795.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Financial Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Fee:,"7,625",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Cur Rect:,,
,,,Fee Billed,Consultant Billed,Reimb Billed,Other Billed,,,Total Billed,,Revenue,,Spent,,Variance,,Variance Pct,,,,,
,,,,,,,,,,,,,,,,,,,,AR:,,
,,Cur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unbilled:,,
,,YTD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Real Ratio:,2.08,
,,JTD,"14,125",,,,,,"14,125",,"14,125",,"6,795",,"7,330",,51.89,,,,,
,,,,,,,,,,,,,,,,,,,,Rev Meth:,B,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Phase Number: 012 External Stakeholder Meeting Attendance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour,,,,,,,,,,,,,,,,,,,,,,
ENGIN Engineering,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    08/09/2021 ",,,,,,,,1.50,,525.00,,,,,,,,,,,,
ROI review,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    08/09/2021 ",,,,,,,,3.00,,"1,050.00",,,,,,,,,,,,
ROI review and meeting,,,,,,,,,,,,,,,,,,,,,,
Total for BJD,,,,,,,,4.50,,"1,575.00",,,,,,,,,,,,
" * F      JCP  Peters, Jools    08/09/2021 ",,,,,,,,2.50,,500.00,,,,,,,,,,,,
"Meeting with Ronstan, Chat with Travis and Willem",,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    20/10/2021 ",,,,,,,,.50,,,,,,,,,,,,,,
Meeting with Ronstan,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    15/12/2021 ",,,,,,,,.50,,87.50,,,,,,,,,,,,
Meeting with MMD and Paul Joseph (throw screens),,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    16/03/2022 ",,,,,,,,2.00,,,,,,,,,,,,,,
Prework around meeting with WK/AT,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    23/03/2022 ",,,,,,,,1.00,,,,,,,,,,,,,,
Lightpole correspondance,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    23/03/2022 ",,,,,,,,.50,,,,,,,,,,,,,,
Review WK comments (time beyond normal expectation),,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    06/04/2022 ",,,,,,,,.50,,87.50,,,,,,,,,,,,
Lightpole discussion,,,,,,,,,,,,,,,,,,,,,,
Total for JCP,,,,,,,,7.50,,675.00,,,,,,,,,,,,
"  F      TZB  Harris, Travis    08/09/2021 ",,,,,,,,2.00,,580.00,,,,,,,,,,,,
Contractor EOI/ROI meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    20/10/2021 ",,,,,,,,.75,,,,,,,,,,,,,,
Meeting with Throw Screen/Mesh Supplier,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    24/11/2021 ",,,,,,,,1.00,,,,,,,,,,,,,,
Prep for Construction Risk Session,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    01/12/2021 ",,,,,,,,2.00,,540.00,,,,,,,,,,,,
Construction Risk Workshop,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    23/03/2022 ",,,,,,,,.50,,,,,,,,,,,,,,
Clarifying scope around light masts and WK Geotechnical Review,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    06/04/2022 ",,,,,,,,.50,,135.00,,,,,,,,,,,,
Light mast meeting and meeting prep,,,,,,,,,,,,,,,,,,,,,,
"  F      TZB  Harris, Travis    20/04/2022 ",,,,,,,,1.00,,270.00,,,,,,,,,,,,
Building Consent Pre Approval Meeting,,,,,,,,,,,,,,,,,,,,,,
"  X      TZB  Harris, Travis    11/05/2022 ",,,,,,,,1.00,,270.00,,,,,,,,,,,,
Governance,,,,,,,,,,,,,,,,,,,,,,
Total for TZB,,,,,,,,8.75,,"1,795.00",,,,,,,,,,,,
" * F      WXS  Stolk, Willem    06/04/2022 ",,,,,,,,1.00,,155.00,,,,,,,,,,,,
Highgate - Street Light Integration,,,,,,,,,,,,,,,,,,,,,,
Total for Engineering ,,,,,,,,21.75,,"4,200.00",,,,,,,,,,,,
Total for Labour,,,,,,,,21.75,,"4,200.00",,,,,,,,,,,,
Total for 012,,,,,,,,21.75,,"4,200.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Financial Analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Fee:,"13,000",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Cur Rect:,,
,,,Fee Billed,Consultant Billed,Reimb Billed,Other Billed,,,Total Billed,,Revenue,,Spent,,Variance,,Variance Pct,,,,,
,,,,,,,,,,,,,,,,,,,,AR:,,
,,Cur,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Unbilled:,,
,,YTD,"6,500",,,,,,"6,500",,"6,500",,"4,200",,"2,300",,35.38,,,,,
,,,,,,,,,,,,,,,,,,,,Real Ratio:,1.13,
,,JTD,"4,750",,,,,,"4,750",,"4,750",,"4,200",,550,,11.58,,,,,
,,,,,,,,,,,,,,,,,,,,Rev Meth:,B,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Phase Number: 041 Bridge Structural Developed Design,,,,,,,,,,,,,,,,,,,,,,
Task Number: 100 Project Management,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour,,,,,,,,,,,,,,,,,,,,,,
ADMIN Administration,,,,,,,,,,,,,,,,,,,,,,
"  F      DDA  Adamson, Donna    02/12/2020 ",,,,,,,,1.25,,150.00,,,,,,,,,,,,
Project Governance Meeting #1,,,,,,,,,,,,,,,,,,,,,,
ENGIN Engineering,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    04/11/2020 ",,,,,,,,.50,,137.50,,,,,,,,,,,,
variation,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    02/12/2020 ",,,,,,,,1.50,,412.50,,,,,,,,,,,,
Proj Gov Mtg,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    16/12/2020 ",,,,,,,,1.00,,275.00,,,,,,,,,,,,
governance,,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    12/05/2021 ",,,,,,,,.50,,137.50,,,,,,,,,,,,
"Bruce, Travis mtg",,,,,,,,,,,,,,,,,,,,,,
"  F      BJD  Davidson, Blair    12/05/2021 ",,,,,,,,1.00,,275.00,,,,,,,,,,,,
VR06,,,,,,,,,,,,,,,,,,,,,,
Total for BJD,,,,,,,,4.50,,"1,237.50",,,,,,,,,,,,
" * F      JCP  Peters, Jools    14/10/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Chat with Steve and further review of previous correspondence,,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    14/10/2020 ",,,,,,,,4.00,,520.00,,,,,,,,,,,,
Internal meeting with Sulo and meeting at Motts + prep,,,,,,,,,,,,,,,,,,,,,,
" * F      JCP  Peters, Jools    14/10/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Meeting preparation for chat with Steve,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    21/10/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Modelling meeting and coordination,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    21/10/2020 ",,,,,,,,3.00,,390.00,,,,,,,,,,,,
Planning Meeting with Matt and Sulo and planning,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    28/10/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Comms with MM,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    28/10/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
"Discussion with Anand on model and plan. 
Chat with Matt",,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    28/10/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Review of correspondence and NZTA S95,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    11/11/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Coordination with Sam,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    11/11/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Weekly meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    18/11/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
"Coordination with Motts
Barriers",,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    18/11/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Meeting with NZTA barrier,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    18/11/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Meeting with Sulo / Matt,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    18/11/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Planning Session with Matt,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    18/11/2020 ",,,,,,,,2.50,,325.00,,,,,,,,,,,,
Weekly Meeting and correspondance,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    25/11/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Discussions with project team - Hunter / Michael,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    25/11/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Mahi Toi Meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    25/11/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Motts Meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    02/12/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Barriers Meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    02/12/2020 ",,,,,,,,4.00,,520.00,,,,,,,,,,,,
Coordination meetings,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    02/12/2020 ",,,,,,,,2.50,,325.00,,,,,,,,,,,,
Weekly design meeting. Coordination,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    09/12/2020 ",,,,,,,,2.00,,260.00,,,,,,,,,,,,
Attending weekly meeting,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    09/12/2020 ",,,,,,,,1.50,,195.00,,,,,,,,,,,,
Meetings for Register and HJ,,,,,,,,,,,,,,,,,,,,,,
"  F      JCP  Peters, Jools    16/12/2020 ",,,,,,,,1.00,,130.00,,,,,,,,,,,,
Coordination with MM,,,,,,,,,,,,,,,,,,,,,,
